id,name
12,"Apeejay Stya University, Sohna"
26,"Academy of Aviation Engineering and Technology, Visakhapatnam"
51,"Assam Down Town University, Guwahati"
52,"Rajiv Gandhi University, Itanagar"
64,"Alice Institute of Technology, Ranchi"
67,"Amrapali Institute of Technology, Lakhisarai"
68,"Asian Institute of Engineering and Technology, Lucknow"
69,"Anubhav Institute of Engineering and Management, Kanpur"
99,"Akula Gopayya College of Engineering and Technology, Tadepalligudem"
126,"Assam University, Silchar"
160,Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior
255,"Azad College of Engineering for Women, Hyderabad"
256,"Ayodhya Prasad Management Institute and Technology, Allahabad"
257,"Aware Madhavanji College of Engineering, Hyderabad"
258,"Awadh Institute of Technology, Lucknow"
259,"Apostle Institute of Technology for Women, Greater Noida"
260,"Apex Engineering College, Warangal"
261,"Anjan Narasimha Munaga Kancharia Thummapudi Institute of Technology and Management, Cuddapah"
262,"Andhra University, Visakhapatnam"
263,"Al-Aman College of Engineering, Visakhapatnam"
264,"AMR Institute of Technology, Adilabad"
271,"Sam Higginbottom Institute of Agriculture Technology and Science, Allahabad"
291,"ANMKT Institute of Technology and Management, Cuddapah"
309,"Sant Gadge Baba Amravati University, Amravati"
322,"Sushant University, Gurgaon"
353,"Amity University, Lucknow Campus"
381,"Amrapali University, Haldwani"
384,"Aurora's Business School, Hyderabad"
400,"ASBM University, Bhubaneswar"
406,"Ambedkar Institute of Management Studies, Visakhapatnam"
408,"Alluri Institute of Management Sciences, Warangal"
446,"Apeejay School of Management, Delhi"
448,"Asia-Pacific Institute of Management, New Delhi"
453,"Avinashilingam Institute for Home Science and Higher Education for Women, Coimbatore"
469,"Adani Institute of Infrastructure Management, Ahmedabad"
493,"Apeejay Institute of Technology- School of Management, Greater Noida"
511,"Algol School of Management and Technology, Gurgaon"
529,"Asian Institute of Communication and Research Business School, Raigad"
543,"Aravali Institute of Management, Jodhpur"
545,"Aligarh Muslim University, Aligarh"
558,"Acharya School of Management, Bangalore"
565,"Amity University elearning, Greater Noida"
566,"AIMA Centre for Management Education, Delhi"
588,All India Institute of Medical Sciences New Delhi
645,"ACCMAN Institute of Management, Greater Noida"
651,"Asian School of Management, Pune"
664,"Alakh Prakash Goyal Shimla University, Shimla"
685,"Acharya NG Ranga Agricultural University, Guntur"
