College_Name,State,Stream,Degree,Fee
Indian Institute of Technology Madras ,Tamil nadu,Engineering,UG,75116
"College of Engineering, Anna University ",Tamil nadu,Engineering,UG,50000
"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering,UG,149250
Vellore Institute of Technology ,Tamil nadu,Engineering,UG,198000
"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering,UG,260000
SSN College of Engineering ,Tamil nadu,Engineering,UG,50000
"SASTRA University, Thanjavur ",Tamil nadu,Engineering,UG,167000
P.S.G College of Technology ,Tamil nadu,Engineering,UG,87000
Thiagarajar College of Engineering ,Tamil nadu,Engineering,UG,50000
Coimbatore Institute of Technology ,Tamil nadu,Engineering,UG,23670
Karunya Institute of Technology and Sciences ,Tamil nadu,Engineering,UG,213500
Kumaraguru College of Technology ,Tamil nadu,Engineering,UG,50000
"VEL Tech, Chennai ",Tamil nadu,Engineering,UG,50000
"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,Engineering,UG,134000
Government College of Technology ,Tamil nadu,Engineering,UG,9180
Hindustan Institute of Technology and Science ,Tamil nadu,Engineering,UG,229500
Sri Krishna College of Engineering and Technology ,Tamil nadu,Engineering,UG,50000
Kongu Engineering College ,Tamil nadu,Engineering,UG,60000
Bannari Amman Institute of Technology ,Tamil nadu,Engineering,UG,60000
"Sona College of Technology, Salem ",Tamil nadu,Engineering,UG,200000
Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,Engineering,UG,21415
"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,Engineering,UG,60000
Saveetha Engineering College ,Tamil nadu,Engineering,UG,85000
"Sri Sairam Engineering College, Chennai ",Tamil nadu,Engineering,UG,50000
B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,Engineering,UG,85000
Sri Ramakrishna Engineering College ,Tamil nadu,Engineering,UG,55000
Rajalakshmi Engineering College ,Tamil nadu,Engineering,UG,50000
Sri Venkateswara College of Engineering ,Tamil nadu,Engineering,UG,65000
IIT Bombay ,Maharashtra,Engineering,UG,228000
Institute of Chemical Technology ,Maharashtra,Engineering,UG,85350
Visvesvaraya National Institute of Technology ,Maharashtra,Engineering,UG,149200
College of Engineering ,Maharashtra,Engineering,UG,40500
Defence Institute of Advanced Technology ,Maharashtra,Engineering,UG,153600
National Institute of Industrial Engineering ,Maharashtra,Engineering,UG,598000
Army Institute of Technology ,Maharashtra,Engineering,UG,180197
Bharati Vidyapeeth Deemed University ,Maharashtra,Engineering,UG,120000
