College_Name,State,Stream,Degree,Fee,cluster
Indian Institute of Technology Madras ,29,3,1,-0.15193824891251215,51
"College of Engineering, Anna University ",29,3,1,-0.2455499748787066,51
"NIT Trichy, Tiruchirappalli ",29,3,1,0.12437213860054176,51
Vellore Institute of Technology ,29,3,1,0.3060719172616335,51
"SRM Engineering College, Kanchipuram ",29,3,1,0.5371567639690733,51
SSN College of Engineering ,29,3,1,-0.2455499748787066,51
"SASTRA University, Thanjavur ",29,3,1,0.19052949390791363,51
P.S.G College of Technology ,29,3,1,-0.10764450184362158,51
Thiagarajar College of Engineering ,29,3,1,-0.2455499748787066,51
Coimbatore Institute of Technology ,29,3,1,-0.34368649123043066,51
Karunya Institute of Technology and Sciences ,29,3,1,0.36384312893849347,51
Kumaraguru College of Technology ,29,3,1,-0.2455499748787066,51
"VEL Tech, Chennai ",29,3,1,-0.2455499748787066,51
"Mepco Schlenk Engineering College, Sivakasi ",29,3,1,0.06753272066040536,51
Government College of Technology ,29,3,1,-0.39769325621092744,51
Hindustan Institute of Technology and Science ,29,3,1,0.4234779280888005,51
Sri Krishna College of Engineering and Technology ,29,3,1,-0.2455499748787066,51
Kongu Engineering College ,29,3,1,-0.2082782254097647,51
Bannari Amman Institute of Technology ,29,3,1,-0.2082782254097647,51
"Sona College of Technology, Salem ",29,3,1,0.3135262671554219,51
Tamil Nadu Veterinary and Animal Sciences University ,29,3,1,-0.35209127073567703,51
"St. Joseph College Of Engineering, Kanchipuram ",29,3,1,-0.2082782254097647,51
Saveetha Engineering College ,29,3,1,-0.11509885173740995,51
"Sri Sairam Engineering College, Chennai ",29,3,1,-0.2455499748787066,51
B.S. Abdur Rahman Crescent Institute of Science ,29,3,1,-0.11509885173740995,51
Sri Ramakrishna Engineering College ,29,3,1,-0.22691410014423566,51
Rajalakshmi Engineering College ,29,3,1,-0.2455499748787066,51
Sri Venkateswara College of Engineering ,29,3,1,-0.18964235067529375,51
IIT Bombay ,19,3,1,0.41788716566845924,89
Institute of Chemical Technology ,19,3,1,-0.11379434050599699,89
Visvesvaraya National Institute of Technology ,19,3,1,0.12418577985319705,89
College of Engineering ,19,3,1,-0.2809581368742014,89
Defence Institute of Advanced Technology ,19,3,1,0.14058534961953148,89
National Institute of Industrial Engineering ,19,3,1,1.7969418960193095,89
Army Institute of Technology ,19,3,1,0.23971702168207626,89
Bharati Vidyapeeth Deemed University ,19,3,1,0.015352271403886696,89
Veermata Jijabai Technological Institute ,19,3,1,-0.11863594076201255,89
GH Raisoni College of Engineering ,19,3,1,1.6553092480373304,89
Mukesh Patel School of Technology Management and ,19,3,1,1.2527743537727578,89
Sardar Patel Institute of Technology ,19,3,1,0.2017110187485962,89
Shri Ramdeobaba College of Engineering and Management ,19,3,1,0.10853164507624145,89
Rashtrasant Tukadoji Maharaj Nagpur University ,19,3,1,-0.3066756440077713,89
Yeshwantrao Chavan College of Engineering ,19,3,1,0.13388016189006885,89
Walchand College of Engineering ,19,3,1,-0.11534111810895809,89
MIT World Peace University ,19,3,1,0.7235155113137828,89
Vishwakarma Institute of Information Technology ,19,3,1,0.17934796906723108,89
Ramrao Adik Institute of Technology ,19,3,1,0.7794231355171957,89
Sardar Patel College of Engineering ,19,3,1,0.2017110187485962,89
K. J. Somaiya College of Engineering ,19,3,1,0.6340633125883222,89
Pimpri Chinchwad College of Engineering ,19,3,1,0.08452491124329597,89
"MKSSS's Cummins College of Engineering for Women, ",19,3,1,0.24209868647314164,89
Dwarkadas J Sanghvi College of Engineering ,19,3,1,0.29116321747405677,89
Thakur College of Engineering and Technology ,19,3,1,0.11784958244347693,89
SVKM's Narsee Monjee Institute of Management Studies ,19,3,1,0.6936981117386293,89
"Amity University, Mumbai ",19,3,1,0.3955241159870941,89
"Vishwakarma Institute of Technology, Pune ",19,3,1,0.23859141484811422,89
Indian Institute of Information Technology ,19,3,1,0.44211380282327145,89
Indian Institute of Technology ,32,3,1,0.3716701963269713,52
Indian Institute of Technology ,32,3,1,-0.11516966806140096,52
"Amity University, Noida ",32,3,1,0.727242686260677,52
Aligarh Muslim University ,32,3,1,0.5723599313424889,52
MNNIT Allahabad ,32,3,1,-0.11634372816967262,52
Jaypee Institute of Information Technology University ,32,3,1,0.44956815271705985,52
Indian Institute of Information Technology ,32,3,1,-0.044282527746420344,52
"Dayalbagh Educational Institute Faculty of Engineering, Agra ",32,3,1,-0.24070464744774417,52
Sharda University ,32,3,1,0.1784907188294454,52
Galgotias University ,32,3,1,0.16071209433276012,52
"Bennett University, Greater Noida ",32,3,1,0.8726025091895504,52
Shiv Nadar University ,32,3,1,0.3135262671554219,52
"Integral University, Lucknow ",32,3,1,0.0898957703417705,52
J.S. University ,32,3,1,-0.2548679122459421,52
"GLA University, Mathura ",32,3,1,0.23152841832374974,52
Institute of Engineering and Technology ,32,3,1,-0.0973015913659902,52
Sanskriti University ,32,3,1,-0.003283603330584255,52
"Monad University, Hapur ",32,3,1,0.1308946947576066,52
Indian Institute of Information Technology ,32,3,1,0.3832244386623433,52
"IFTM University, Moradabad ",32,3,1,-0.033101002905737774,52
"Shobhit University, Meerut ",32,3,1,-0.017446868128782177,52
"Glocal University, Saharanpur ",32,3,1,0.10480447012934727,52
"Rama University, Kanpur ",32,3,1,-0.09646297700293902,52
Noida Institute of Engineering and Technology ,32,3,1,1.8565766951696165,52
"ABES Engineering College, Ghaziabad ",32,3,1,0.103686317645279,52
Bundelkhand Institute of Engineering & Technology ,32,3,1,-0.20156931050535518,52
Harcourt Butler Technological University ,32,3,1,0.07125989560729955,52
Rajiv Gandhi Institute of Petroleum Technology ,32,3,1,0.39216965853488933,52
Indian Institute of Technology ,9,3,1,0.38918791857737395,30
"Jamia Millia Islamia University-[JMI], New Delhi ",9,3,1,-0.371714846831075,30
Delhi Technological University ,9,3,1,0.27625451768648,30
"Amity University, Noida ",9,3,1,0.727242686260677,30
Indraprastha Institute of Information Technology ,9,3,1,0.9098742586584923,30
Guru Gobind Singh Indraprastha University ,9,3,1,0.004916181552582964,30
