College_Name,State,Stream,Degree,Fee,cluster
Indian Institute of Technology Madras ,29,3,1,-0.15178891869138614,1
"College of Engineering, Anna University ",29,3,1,-0.24549457690923768,1
"NIT Trichy, Tiruchirappalli ",29,3,1,0.12479872529341264,1
Vellore Institute of Technology ,29,3,1,0.3066808258715406,1
"SRM Engineering College, Kanchipuram ",29,3,1,0.5379975486580829,1
SSN College of Engineering ,29,3,1,-0.24549457690923768,1
"SASTRA University, Thanjavur ",29,3,1,0.19102246447826948,1
P.S.G College of Technology ,29,3,1,-0.1074507262140431,1
Thiagarajar College of Engineering ,29,3,1,-0.24549457690923768,1
Coimbatore Institute of Technology ,29,3,1,-0.34372956579584507,1
Karunya Institute of Technology and Sciences ,29,3,1,0.36451000656817617,1
Kumaraguru College of Technology ,29,3,1,-0.24549457690923768,1
"VEL Tech, Chennai ",29,3,1,-0.24549457690923768,1
"Mepco Schlenk Engineering College, Sivakasi ",29,3,1,0.06790227331769055,1
Government College of Technology ,29,3,1,-0.39779052245999014,1
Hindustan Institute of Technology and Science ,29,3,1,0.4242046447066387,1
Sri Krishna College of Engineering and Technology ,29,3,1,-0.24549457690923768,1
Kongu Engineering College ,29,3,1,-0.2081854280726986,1
Bannari Amman Institute of Technology ,29,3,1,-0.2081854280726986,1
"Sona College of Technology, Salem ",29,3,1,0.3141426556388484,1
Tamil Nadu Veterinary and Animal Sciences University ,29,3,1,-0.3521427788584846,1
"St. Joseph College Of Engineering, Kanchipuram ",29,3,1,-0.2081854280726986,1
Saveetha Engineering College ,29,3,1,-0.1149125559813509,1
"Sri Sairam Engineering College, Chennai ",29,3,1,-0.24549457690923768,1
B.S. Abdur Rahman Crescent Institute of Science ,29,3,1,-0.1149125559813509,1
Sri Ramakrishna Engineering College ,29,3,1,-0.22684000249096814,1
Rajalakshmi Engineering College ,29,3,1,-0.24549457690923768,1
Sri Venkateswara College of Engineering ,29,3,1,-0.18953085365442907,1
IIT Bombay ,19,3,1,0.41860827238115783,2
Institute of Chemical Technology ,19,3,1,-0.11360673577207205,2
Visvesvaraya National Institute of Technology ,19,3,1,0.12461217954922994,2
College of Engineering ,19,3,1,-0.2809382683039498,2
Defence Institute of Advanced Technology ,19,3,1,0.14102820503730715,2
National Institute of Industrial Engineering ,19,3,1,1.7990467793331035,2
Army Institute of Technology ,19,3,1,0.2402593481978501,2
Bharati Vidyapeeth Deemed University ,19,3,1,0.015669464946535847,2
Veermata Jijabai Technological Institute ,19,3,1,-0.11845319420593847,2
GH Raisoni College of Engineering ,19,3,1,1.657272013754255,2
Mukesh Patel School of Technology Management and ,19,3,1,1.254333206319633,2
