,Colleges,Program,Gender,Seat Type,Quota
0,"Assam University, Silchar","Aerospace Engineering (4 Years, Bachelor of Technology)",Female-only (including Supernumerary),EWS,AI
1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,EWS (PwD),AP
2,"Birla Institute of Technology, Mesra, Ranchi","Agricultural Engineering (4 Years, Bachelor of Technology)",,OBC-NCL,GO
3,Central University of Jammu,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",,OBC-NCL (PwD),HS
4,"Central University of Rajasthan, Rajasthan","Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",,OPEN,JK
5,"Central institute of Technology Kokrajar, Assam","Applied Geology (4 Years, Bachelor of Science)",,OPEN (PwD),LA
6,"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)","Applied Geology (5 Years, Integrated Master of Science)",,SC,OS
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Applied Geology (5 Years, Integrated Master of Technology)",,SC (PwD),
8,"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal","Applied Geophysics (5 Years, Integrated Master of Technology)",,ST,
9,"Gurukula Kangri Vishwavidyalaya, Haridwar","Applied Mathematics (5 Years, Integrated Master of Science)",,ST (PwD),
10,HNB Garhwal University Srinagar (Garhwal),"Architecture (5 Years, Bachelor of Architecture)",,,
11,"Indian Institute of Carpet Technology, Bhadohi","Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",,,
12,"Indian Institute of Engineering Science and Technology, Shibpur","Artificial Intelligence (4 Years, Bachelor of Technology)",,,
13,"Indian Institute of Handloom Technology(IIHT), Varanasi","Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",,,
14,Indian Institute of Information Technology (IIIT) Nagpur,"Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)",,,
15,Indian Institute of Information Technology (IIIT) Pune,"B. Tech. Computer Science and Engineering and M. Tech. Computer Science and Engineering with specialization in Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
16,Indian Institute of Information Technology (IIIT) Ranchi,"B. Tech. Electronics and Communication Engineering and M. Tech. Electronics and Communication Engineering with specialization in Communication Systems Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
17,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor","B. Tech. Electronics and Communication Engineering and M. Tech. Electronics and Communication Engineering with specialization in VLSI Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
18,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","B. Tech. Mechanical Engineering and M. Tech. Mechanical Engineering with specialization in Advanced Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
19,Indian Institute of Information Technology Bhagalpur,"B. Tech. Mechanical Engineering and M. Tech. in Mechanical Engineering with specialization in Product Design (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
20,Indian Institute of Information Technology Bhopal,"BS in Mathematics (4 Years, Bachelor of Science)",,,
21,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh","Bio Engineering (4 Years, Bachelor of Technology)",,,
22,Indian Institute of Information Technology Guwahati,"Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
23,Indian Institute of Information Technology Lucknow,"Bio Medical Engineering (4 Years, Bachelor of Technology)",,,
24,Indian Institute of Information Technology Manipur,"Bio Technology (4 Years, Bachelor of Technology)",,,
25,"Indian Institute of Information Technology Srirangam, Tiruchirappalli","Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
26,Indian Institute of Information Technology Surat,"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
27,Indian Institute of Information Technology Tiruchirappalli,"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
28,Indian Institute of Information Technology(IIIT) Dharwad,"Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
29,"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal","Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",,,
30,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana","Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",,,
31,Indian Institute of Information Technology(IIIT) Kottayam,"Biomedical Engineering (4 Years, Bachelor of Technology)",,,
32,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh","Biosciences and Bioengineering (4 Years, Bachelor of Technology)",,,
33,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat","Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
34,"Indian Institute of Information Technology, Agartala","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",,,
35,"Indian Institute of Information Technology, Allahabad","Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",,,
36,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram","Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",,,
